Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,DIY Workbench,Kitchen Equipment,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Ricky,,,,Squirrel,Male,Cranky,B,Education,9/14,nutcase,K.K. Safari,You gotta break a few shells to get to the nut.,Cool,Simple,Blue,Red,2498,bat umbrella,woodland wall,swamp flooring,533;533;533;533;889;1432;3675;3697;4038;4042;4393;7142;7345;7393,tree standee;tree standee;tree standee;tree standee;camp stove;lantern;hay bed;portable radio;log stool;log bench;old-fashioned washtub;simple DIY workbench;shanty mat;pond stone,7142,717,1.0.0,#9b553a,#ffd00d,squ10,g5JArfBAeNAXb8rFX
Rilla,,,,Gorilla,Female,Peppy,A,Nature,11/1,hello,Bubblegum K.K.,"Where there's a will, there's a way.",Cute,Elegant,Red,Blue,13166,Toad parasol,Hello Kitty wall,Hello Kitty flooring,1500;12241;12268;12269;12270;12271;12272;12291;13276,Mama bear;Hello Kitty drawers;Hello Kitty clock;Hello Kitty chair;Hello Kitty table;Hello Kitty bed;Hello Kitty planter;Hello Kitty rug;Hello Kitty dress,"3995,3_0","3251,1_0",1.9.0,#fff6f6,#ff3339,gor11,aDinKd5HbWYhvZzTH
Rio,,,,Ostrich,Female,Peppy,B,Music,9/10,li'l chick,K.K. Chorinho,Self-care? Best care.,Cool,Cute,Orange,Green,8816,kiwi umbrella,red perforated-board wall,rosewood flooring,3428;3616;4111;4338;10244;13007;13008;13008;13009;13010;13300;13454;13573,wall-mounted TV (50 in.);system kitchen;old-fashioned alarm clock;portable record player;fragrance sticks;cool side table;cool chair;cool chair;cool bed;cool sofa;stylish wall spotlight;cool dining table;medium wooden partition,"1241,7_0","3616,1_0",2.0.0,#fffad4,#ff4040,ost04,tBdjy528eTphL4WyM
Rizzo,,,,Mouse,Male,Cranky,B,Education,1/17,squee,K.K. Folk,Evil lurks everywhere.,Simple,Cool,Black,Gray,3460,paper parasol,mortar wall,dirt flooring,710;3580;3617;3692;5978;5978;6831;6831;10743,bamboo bench;bonsai shelf;stall;plain wooden shop sign;bamboo lunch box;bamboo lunch box;blossom-viewing lantern;blossom-viewing lantern;bamboo speaker,7142,717,1.0.0,#fffad4,#8bcdea,mus09,vmbvXTtjpswNLkcpi
Roald,,,,Penguin,Male,Jock,B,Fitness,1/5,b-b-buddy,K.K. March,You must learn to waddle before you can swim.,Active,Simple,Red,Yellow,3225,two-tone umbrella,iceberg wall,iceberg flooring,3497;3499;3501;3501;3503;4003;4042;4042;4279,frozen table;frozen arch;frozen sculpture;frozen sculpture;frozen chair;cute music player;log bench;log bench;frozen-treat set,"3943,4_0","3270,4_0",1.0.0,#fffad4,#194c89,pgn01,kxpZTdDuacHxQA3An
Robin,,,,Bird,Female,Snooty,B,Fashion,12/4,la-di-da,K.K. Cruisin',Always keep your wings manicured so you can fly away.,Elegant,Cool,Aqua,Purple,4320,hydrangea umbrella,brown botanical-tile wall,brown argyle-tile flooring,331;1829;1829;3948;3971;4035;4046;4048;4051;4054;4080;4338;7818,birdbath;cypress plant;cypress plant;accessories stand;imperial partition;log garden lounge;rattan end table;rattan towel basket;rattan vanity;rattan low table;long bathtub;portable record player;bathrobe,"3943,2_0","3616,5_0",1.0.0,#9ae8df,#6b75ce,brd01,xK49Rcb2Lnm5P4aLM
Rocco,,,,Hippo,Male,Cranky,B,Education,8/18,hippie,K.K. Lament,The only thing to fear is fear itself... and wasps!,Simple,Cool,Yellow,Black,8192,two-tone umbrella,construction-site wall,construction-site flooring,146;146;1234;1567;2553;2553;3697;3943;7229;7262;8575;9568;9619;9619,cone;cone;portable toilet;oil barrel;iron frame;iron frame;portable radio;ironwood DIY workbench;handcart;metal can;outdoorsy shovel;construction sign;utility pole;utility pole,"3943,2_0","3270,2_0",1.0.0,#219479,#87e0a9,hip00,vfET6L7B9ruRApyMb
Rocket,,,,Gorilla,Female,Big Sister,B,Fitness,4/14,vroom,K.K. Adventure,Art feeds the soul. So does pizza.,Active,Cool,Pink,Red,12038,vinyl umbrella,skyscraper wall,monochromatic tile flooring,287;1241;1598;3159;4013;4338;5423;6519;7133;7235;7348;7348;7528;7535;7845,exercise bike;DIY workbench;exercise ball;noble zap suit;punching bag;portable record player;zap helmet;Rocket's photo;wooden mini table;rose bed;red carpet;red carpet;tool cart;kettlebell;pull-up-bar stand,"1241,7_0","3616,1_0",1.0.0,#fffce9,#f993ce,gor09,eJNBB5SYzfj5DaWjx
Rod,,,,Mouse,Male,Jock,B,Fitness,8/14,ace,K.K. March,"If you can't beat 'em, work harder.",Active,Cool,Blue,Aqua,7763,two-tone umbrella,sea view,ship deck,791;863;3468;3596;4102;7259,jukebox;billiard table;beach towel;pool;poolside bed;palm-tree lamp,"3122,0_0","3270,2_0",1.0.0,#fffce9,#ec7efc,mus05,ezLuGMubv35hSamPr
Rodeo,,,,Bull,Male,Lazy,B,Fitness,10/29,chaps,K.K. Technopop,Zzzzzzzzzzzzzzzzz...,Simple,Cool,Black,Red,3140,ghost umbrella,concrete wall,monochromatic tile flooring,793;1186;2560;3490;3590;3783;3784;3957;4105;4125,high-end stereo;telescope;wooden chest;wooden waste bin;desktop computer;den desk;den chair;antique bed;plasma ball;wooden bookshelf,"1241,3_0","3616,4_0",1.0.0,#fffce9,#515151,bul01,QNT5F2pjZixKpiD4D
Rodney,,,,Hamster,Male,Smug,A,Music,11/10,le ham,K.K. Rockabilly,Everything is temporary.,Gorgeous,Cool,Pink,Colorful,7768,mush umbrella,blue diner wall,green vinyl flooring,791;863;937;1087;1277;1852;1852;1853;4144;4441;7392,jukebox;billiard table;dartboard;pinball machine;cacao tree;box sofa;box sofa;box corner sofa;diner neon clock;diner mini table;candy machine,"3943,0_0","3251,4_0",1.0.0,#fffce9,#459aba,ham03,AnFmctYx65LkTaFGu
Rolf,,,,Tiger,Male,Cranky,B,Fitness,8/22,grrrolf,K.K. Condor,Don't skip lunch. Ever.,Cool,Active,Blue,Black,2778,snowflake umbrella,summit wall,flowing-river flooring,889;1432;1433;1434;3398;3697;4393;5970;5972;7142,camp stove;lantern;campfire cookware;sleeping bag;stone stool;portable radio;old-fashioned washtub;firewood;wild log bench;simple DIY workbench,7142,717,1.0.0,#848484,#ffffff,tig00,MA2wxkE7cEyD4f4hz
Rooney,,,,Kangaroo,Male,Cranky,A,Fitness,12/1,punches,K.K. Adventure,Bob and weave! Bob and weave!,Active,Active,Gray,Black,7994,vinyl umbrella,gray shanty wall,steel flooring,290;1452;1456;3431;3560;3560;3960;4003;4013;7152;7653;7800,treadmill;weight bench;judge's bell;wall fan;iron worktable;iron worktable;handy water cooler;cute music player;punching bag;neutral corner;speed bag;protein shaker bottle,"3943,3_0","3251,0_0",1.0.0,#fffce9,#3fd8e0,kgr09,9wnSweJyqfd4izW4M
Rory,,,,Lion,Male,Jock,A,Music,8/7,capital,K.K. Faire,Set 'em up and knock 'em down.,Simple,Active,Blue,Red,9218,blue umbrella,mangrove wall,starry-sands flooring,1234;3348;3468;3980;4102;5150;7795;7795;9584,portable toilet;plastic pool;beach towel;shell table;poolside bed;shell speaker;stone lion-dog;stone lion-dog;beach ball,7142,"3251,2_0",1.0.0,#fff2bb,#ff791f,lon07,hAfSborD4JtyNGFd6
Roscoe,,,,Horse,Male,Cranky,B,Music,6/16,nay,K.K. D&B,Trouble rides a fast horse.,Cool,Gorgeous,Black,Gray,3198,bat umbrella,black-crown wall,monochromatic tile flooring,849;929;1241;1645;1744;2554;3559;3561;4046;4050;4052;4054;4338;4738;4757,amp;air conditioner;DIY workbench;electric guitar;wall clock;double sofa;iron wall lamp;iron hanger stand;rattan end table;rattan table lamp;rattan bed;rattan low table;portable record player;skull doorplate;throwback skull radio,"1241,0_0","3616,4_0",1.0.0,#fffce9,#515151,hrs04,RKAg95c8nosL8fNec
Rosie,,,,Cat,Female,Peppy,A,Music,2/27,silly,Bubblegum K.K.,One good purr deserves another.,Cute,Cute,Pink,Red,2783,candy umbrella,purple dotted wall,blue-paint flooring,1757;2605;3428;3995;3996;3997;3998;3999;4000;4001;4002;4003;7137,claw-foot tub;wooden simple bed;wall-mounted TV (50 in.);cute DIY table;cute wall-mounted clock;cute wardrobe;cute sofa;cute chair;cute tea table;cute vanity;cute floor lamp;cute music player;wooden full-length mirror,"3995,0_0","3251,1_0",1.0.0,#fffce9,#7fa9ff,cat02,NTwyXi4RAX4EKTcW6
Roswell,,,,Alligator,Male,Smug,A,Nature,5/2,spaaace,K.K. Khoomei,Keep your eyes on the skies.,Simple,Elegant,Beige,Brown,3237,beach umbrella,chain-link fence,sandlot,922;922;922;1708;3064;3583;3617;13360;13513;13615;13756;13756;13756;13756;14050;14055;14163,stacked bottle crates;stacked bottle crates;stacked bottle crates;cassette player;cooler box;fishing-boat flag;stall;bottled beverage;fish container;scooter;bottle crate;bottle crate;bottle crate;bottle crate;deep fryer;outdoor kitchen;aji fry,"1241,3_0","14055,3_0",2.0.0,#fffce9,#4c3317,crd05,wvmhH9rB4Amhuag5d
Rowan,,,,Tiger,Male,Jock,B,Fitness,8/26,mango,Surfin' K.K.,Refuse to lose.,Active,Simple,Aqua,Gray,9498,kabuki umbrella,bamboo wall,tiger-print flooring,689;710;716;3558;3970;3972;3973;3974;4338,paper tiger;bamboo bench;screen;bamboo wall decoration;imperial decorative shelves;imperial chest;imperial bed;imperial low table;portable record player,"3943,0_0","3270,1_0",1.0.0,#fff2bb,#ff791f,tig01,WqtXZv8CLheckbHoF
Ruby,,,,Rabbit,Female,Peppy,B,Nature,12/25,li'l ears,Stale Cupcakes,You can always take the red-eye.,Cute,Active,Aqua,Pink,8197,lemon umbrella,starry-sky wall,lunar surface,1054;1439;1439;1442;1445;1445;5676,moon;asteroid;asteroid;lunar rover;astronaut suit;astronaut suit;crewed spaceship,7142,3615,1.0.0,#848484,#ffffff,rbt09,rjbSmp6a8PdsEw9BM
Rudy,,,,Cat,Male,Jock,A,Play,12/20,mush,K.K. Blues,Always land on your feet!,Active,Simple,Yellow,Beige,7972,two-tone umbrella,green playroom wall,pine-board flooring,85;2560;2605;3122;3205;4123;4756;4758;4762;7133,train set;wooden chest;wooden simple bed;mini DIY workbench;wooden-block stereo;mini-cactus set;throwback wall clock;throwback mitt chair;throwback container;wooden mini table,"3122,5_0","3251,0_0",1.0.0,#fffce9,#7a2500,cat20,TqXTvnySgEac3iEt7
Sally,,,,Squirrel,Female,Normal,B,Music,6/19,nutmeg,Only Me,Even the smallest acorn may grow into the tallest tree.,Simple,Elegant,White,Beige,3631,raindrop umbrella,yellow intricate wall,dark parquet flooring,928;1792;2560;2605;3251;3275;3438;3618;3948;4338;6075;6078;6079;7133;7134;7137;7143;7352;7352;9766,pot rack;cushion;wooden chest;wooden simple bed;gas range;ironwood clock;wooden end table;cutting board;accessories stand;portable record player;tree's bounty mobile;tree's bounty lamp;tree's bounty little tree;wooden mini table;wooden low table;wooden full-length mirror;Mom's candle set;yellow argyle rug;yellow argyle rug;mini fridge,"3122,1_0","3251,2_0",1.0.0,#fff2bb,#ff791f,squ07,jtXMvWWbQ9qN2iw7S
Samson,,,,Mouse,Male,Jock,B,Fitness,7/5,pipsqueak,Rockin' K.K.,Squeak softly and carry a big stick.,Simple,Active,Red,Yellow,8426,leaf umbrella,blue subway-tile wall,cool-paint flooring,85;1177;1263;2596;3822;3975;4546;4753;4756;4762,train set;foosball table;pear wardrobe;juicy-apple TV;pro tape recorder;orange end table;pear bed;throwback wrestling figure;throwback wall clock;throwback container,"3122,3_0","3251,1_0",1.0.0,#498992,#acc8cf,mus04,XFzdPqYwq4n98EpuF
Sandy,,,,Ostrich,Female,Normal,A,Nature,10/21,speedy,K.K. Soul,Soaring through the sky takes more than a pair of wings.,Simple,Cool,Aqua,White,7763,fairy-tale umbrella,blackboard wall,rosewood flooring,1032;1161;1277;1606;1845;1866;1875;2554;3194;3271;3467;3586;3615;3681;3775;3775;4338;7348,magazine rack;cream and sugar;cacao tree;serving cart;simple kettle;menu chalkboard;grand piano;double sofa;ironwood low table;ironwood cupboard;tea set;magazine;open-frame kitchen;piano bench;hanging terrarium;hanging terrarium;portable record player;red carpet,"3943,4_0",3615,1.0.0,#fff2bb,#ff791f,ost02,6t3MfdfbyRKwjgNPd
Sasha,,,,Rabbit,Male,Lazy,B,Fashion,5/19,hoppity,K.K. Lovers,Timing is everything.,Simple,Cute,Blue,White,2401,patterned vinyl umbrella,white painted-wood wall,blue dot flooring,1845;3122;3251;4003;5543;7329;7454;7599;9766;13342;13343;13344;13576;13580;13627;14352;14353;14354;14534,simple kettle;mini DIY workbench;gas range;cute music player;wooden-block stool;fluffy rug;wooden toolbox;board game;mini fridge;dreamy bed;dreamy wall rack;dreamy shelves;schefflera;skateboard wall rack;patchwork low table;dreamy bear toy;dreamy rabbit toy;dreamy unicorn toy;instant noodles,"3122,3_0","3251,1_0",2.0.0,#fffce9,#00d1bd,rbt21,Ak4wDREajbssvwQbJ
Savannah,,,,Horse,Female,Normal,B,Music,1/25,y'all,Forest Life,Keep your chin up!,Cool,Simple,Aqua,Blue,4574,hydrangea umbrella,blue subway-tile wall,zebra-print flooring,1081;2554;3681;3949;4046;4049;4051;4052;4053;4054;4111;4119,upright piano;double sofa;piano bench;anthurium plant;rattan end table;rattan wardrobe;rattan vanity;rattan bed;rattan armchair;rattan low table;old-fashioned alarm clock;macrame tapestry,"3122,3_0","3251,1_0",1.0.0,#848484,#ffffff,hrs02,Mquwz8gbb3EEmazyF
Scoot,,,,Duck,Male,Jock,B,Fitness,6/13,zip zoom,My Place,"Some birds avoid the water, ducks look for it.",Active,Simple,Beige,Blue,8195,blue umbrella,backyard-fence wall,backyard lawn,1234;1631;3348;3468;3960;4003;4042;4102;4113;7142,portable toilet;garden faucet;plastic pool;beach towel;handy water cooler;cute music player;log bench;poolside bed;hose reel;simple DIY workbench,7142,"3251,3_0",1.0.0,#28665a,#78dd62,duk10,wanb7GiQ9fe6puXe8
Shari,,,,Monkey,Female,Big Sister,A,Music,4/10,cheeky,K.K. Cruisin',A good start leads to a good end.,Cute,Active,Aqua,Yellow,8075,exquisite parasol,purple Moroccan wall,rosewood flooring,3563;3775;4045;4046;4048;4049;4051;4053;4054;4080;7235,iron shelf;hanging terrarium;rattan waste bin;rattan end table;rattan towel basket;rattan wardrobe;rattan vanity;rattan armchair;rattan low table;long bathtub;rose bed,"3943,2_0","3251,4_0",1.0.0,#5e5e5e,#bfbfbf,mnk07,sR4EndxJk6uqcQKxB
Sheldon,,,,Squirrel,Male,Jock,A,Play,2/26,cardio,K.K. Country,"Winners don't quit, and quitters never win.",Active,Cool,Green,Yellow,3253,two-tone umbrella,forest wall,forest flooring,787;805;805;808;1870;3805;3806;3808;4035;4708;7142;7788,tape deck;mush lamp;mush lamp;mush table;mug;mush parasol;mush partition;mush log;log garden lounge;mush low stool;simple DIY workbench;leaf campfire,7142,"3270,3_0",1.0.0,#874c25,#ffaa3b,squ16,KQG9B6Yp57KhnDiZ9
Shep,,,,Dog,Male,Smug,A,Education,11/24,baa baa baa,K.K. Swing,Even dogs won't get in the middle of true love.,Simple,Cool,Aqua,Blue,3227,two-tone umbrella,cabin wall,wooden-knot flooring,796;928;3251;3340;3943;4015;4036;4041;4111;4117;4118;9313;9766,retro stereo;pot rack;gas range;deer decoration;ironwood DIY workbench;shower booth;log decorative shelves;log bed;old-fashioned alarm clock;wood-burning stove;magnetic knife rack;red kilim-style carpet;mini fridge,"1241,0_0","3251,4_0",1.0.0,#fffce9,#c0ab72,dog18,P4FqMoZg2EJQ6EzAb
Sherb,,,,Goat,Male,Lazy,A,Nature,1/18,bawwww,Hypno K.K.,Forty winks is never enough.,Simple,Cute,Gray,Blue,3631,vinyl umbrella,purple Moroccan wall,simple purple flooring,3624;3995;3997;3998;4000;4002;4003;4111;7133,cute bed;cute DIY table;cute wardrobe;cute sofa;cute tea table;cute floor lamp;cute music player;old-fashioned alarm clock;wooden mini table,"3995,1_0","3270,4_0",1.0.0,#85a2af,#bff2ff,goa09,XaaDkAfHynrEY2YS4
Shino,,,,Deer,Female,Peppy,A,Education,10/31,okaaay,King K.K.,Better the demon you know than the one you do not.,Elegant,Gorgeous,Red,Black,9000,paper parasol,shoji screen,tatami,717;6030;6036;7047;10743;12314;13111;13112;13651;13745,clay furnace;cherry-blossom bonsai;Noh mask;zen cushion;bamboo speaker;zen lowboard;Japanese dresser;zen low table;tokonoma;yunomi teacup,"1241,1_0",717,2.0.0,#848484,#ffffff,der11,ixDgM7aQxMsBRcEt4
Simon,,,,Monkey,Male,Lazy,B,Play,1/19,zzzook,K.K. Safari,Friends go together like peanut butter and bananas.,Simple,Active,Red,Colorful,7768,frog umbrella,starry-sky wall,Saharah's desert,343;1143;1430;1433;1620;1708;7142,tiki torch;smoker;bonfire;campfire cookware;hammock;cassette player;simple DIY workbench,7142,"3270,0_0",1.0.0,#8b5f57,#d8cc39,mnk02,mTk2qZXe4XwP3WzNT
Skye,,,,Wolf,Female,Normal,A,Music,3/24,airmail,Forest Life,Love makes the world go 'round.,Cute,Cute,Blue,White,4247,lacy parasol,blue heart-pattern wall,simple white flooring,1081;1161;1836;2554;2560;2605;3438;3439;3681;3949;4027;4111;7236;7346,upright piano;cream and sugar;humidifier;double sofa;wooden chest;wooden simple bed;wooden end table;wooden table;piano bench;anthurium plant;floral swag;old-fashioned alarm clock;lily record player;snowflake rug,"3943,4_0","3251,1_0",1.0.0,#fffce9,#3fd8e0,wol09,y8Mi2cSB26qfaxCa3
Sly,,,,Alligator,Male,Jock,A,Play,11/15,hoo-rah,K.K. Safari,Don't bite off more than you can chew.,Cool,Simple,Brown,Green,3257,camo umbrella,jungle wall,jungle flooring,530;530;531;531;533;533;3969;4038;4081;4269;4763;7142;7788,grass standee;grass standee;hedge standee;hedge standee;tree standee;tree standee;toy centipede;log stool;camping cot;green-leaf pile;throwback dino screen;simple DIY workbench;leaf campfire,7142,"3270,3_0",1.0.0,#fffce9,#e8b010,crd06,GbXz3ZAtzig3qyKd5
Snake,,,,Rabbit,Male,Jock,B,Fitness,11/3,bunyip,King K.K.,A good ninja is neither seen nor heard.,Active,Simple,Black,Blue,3460,paper parasol,mortar wall,dirt flooring,343;343;710;2559;3553;3553;3580;7393,tiki torch;tiki torch;bamboo bench;pot;bamboo partition;bamboo partition;bonsai shelf;pond stone,7142,717,1.0.0,#fffce9,#f993ce,rbt03,LZcGjneEs8xmxNE3q
Snooty,,,,Anteater,Female,Snooty,A,Education,10/24,sniffff,K.K. Folk,"Request forgiveness, not permission.",Simple,Simple,Green,Yellow,8201,kabuki umbrella,shoji screen,tatami flooring,717;725;739;3553;3558;5978;7047;7048;7391;7682,clay furnace;paper lantern;tea table;bamboo partition;bamboo wall decoration;bamboo lunch box;zen cushion;pile of zen cushions;tatami bed;kimono stand,7142,717,1.0.0,#634b4b,#f2bdc7,ant06,hZmkhmRhK7xgM6BhP
Soleil,,,,Hamster,Female,Snooty,A,Education,8/9,tarnation,K.K. Oasis,Sometimes dreams are merely dreams.,Cool,Gorgeous,Red,Yellow,3685,exquisite parasol,imperial wall,imperial tile,794;997;1840;3970;3971;3972;3973;3974;4017;5956;6031;7282,phonograph;incense burner;whirlpool bath;imperial decorative shelves;imperial partition;imperial chest;imperial bed;imperial low table;shower set;Aquarius urn;cherry-blossom branches;hanging scroll,"3943,2_0","3616,1_0",1.0.0,#fff2bb,#ff791f,ham04,EzZzup4KP8t2FvL8f
Sparro,,,,Bird,Male,Jock,A,Play,11/20,like whoa,I Love You,The proof of the pudding is in the eating.,Active,Simple,Green,Gray,8407,leaf umbrella,backyard-fence wall,sandlot,86;333;1116;1199;1631;2329;2329;2556,elephant slide;birdhouse;sandbox;tricycle;garden faucet;tire toy;tire toy;garbage pail,"3122,0_0","3251,3_0",1.0.0,#fffce9,#7a2500,brd18,kyF7bCcryEzaErcTJ
Spike,,,,Rhinoceros,Male,Cranky,A,Nature,6/17,punk,K.K. House,Keep your eye on the ball.,Cool,Gorgeous,Black,Gray,4327,beach umbrella,concrete wall,leopard-print flooring,791;2614;3562;3615;3986;4015;4046;4052;4141;7535;7800;7845;8055,jukebox;mountain bike;iron wall rack;open-frame kitchen;wall-mounted TV (20 in.);shower booth;rattan end table;rattan bed;diner sofa;kettlebell;protein shaker bottle;pull-up-bar stand;muscle tank,"3943,3_0",3615,1.0.0,#fff2bb,#ff791f,rhn02,e8bJbKYBcretqhbuR
Spork,,,,Pig,Male,Lazy,B,Play,9/3,snork,Forest Life,It's never too late for a snack.,Simple,Active,Green,Colorful,8550,leaf umbrella,woodland wall,swamp flooring,1082;1157;1432;1434;3697;4038;4043;4393;5970;7142;7393,picnic basket;brick oven;lantern;sleeping bag;portable radio;log stool;log round table;old-fashioned washtub;firewood;simple DIY workbench;pond stone,"1241,0_0",717,1.0.0,#fffce9,#e4b887,pig05,NeqP5jCsuLugbA2PW
Sprinkle,,,,Penguin,Female,Peppy,A,Play,2/20,frappe,K.K. Marathon,Frosting is just the icing on the cake.,Cute,Elegant,Aqua,White,3631,patterned vinyl umbrella,ice wall,ice flooring,3499;3500;3500;3978;3978;3982;3983;3984;4376;5150,frozen arch;frozen pillar;frozen pillar;shell partition;shell partition;shell fountain;shell bed;shell lamp;shell wreath;shell speaker,"3943,4_0",3615,1.0.0,#fffce9,#00d1bd,pgn14,5ffTHHjgjsXGAcsb3
Sprocket,,,,Ostrich,Male,Jock,A,Music,12/1,zort,K.K. Metal,Strike while the iron is hot.,Simple,Active,Orange,Green,3448,busted umbrella,future-tech wall,circuit-board flooring,849;849;941;950;1045;1645;1803;1804;7257,amp;amp;DJ's turntable;effects rack;silver mic;electric guitar;drum set;electric bass;pedal board,"3943,3_0","3251,4_0",1.0.0,#fffce9,#0ca54a,ost03,mFq536yZgoy7zEbKd
Static,,,,Squirrel,Male,Cranky,B,Music,7/9,krzzt,Surfin' K.K.,Lightning never strikes twice.,Cool,Active,Black,Yellow,3256,logo umbrella,concrete wall,skull-print flooring,793;1241;1644;1645;3275;3559;4046;4052;4053;4071;7528;7654;8417,high-end stereo;DIY workbench;rock guitar;electric guitar;ironwood clock;iron wall lamp;rattan end table;rattan bed;rattan armchair;electronics kit;tool cart;electric kick scooter;wall-mounted tool board,"1241,4_0","3270,3_0",1.0.0,#fffce9,#a06fce,squ08,vqPjvoChWTNpj2t6E
Stella,,,,Sheep,Female,Normal,A,Nature,4/9,baa-dabing,Only Me,100% Natural Fiber.,Simple,Simple,Yellow,Beige,3597,petal parasol,rose wall,dark herringbone flooring,1783;1913;2560;2605;3438;3439;3442;3443;3490;3683;3995;4003;4030;4132;7140;8826,corkboard;wooden chair;wooden chest;wooden simple bed;wooden end table;wooden table;sturdy sewing box;sewing project;wooden waste bin;plain sink;cute DIY table;cute music player;bathroom towel rack;yucca;Mom's tissue box;wooden table mirror,"3995,0_0","3270,0_0",1.0.0,#fffad4,#951d43,shp03,PnrARfxc8picdtvL8
Sterling,,,,Eagle,Male,Jock,B,Fitness,12/11,skraaaaw,K.K. Dirge,Discretion is the better part of valor.,Simple,Elegant,Blue,Red,3233,beach umbrella,dungeon wall,basement flooring,1266;1708;1750;1798;3783;3784;3992;4026;5165;5165;5931;5931;7528;8298,barrel;cassette player;document stack;dinnerware;den desk;den chair;key holder;utility sink;wall-mounted candle;wall-mounted candle;jail bars;jail bars;tool cart;bunk bed,"3943,3_0",3615,1.0.0,#5e5e5e,#bfbfbf,pbr07,u7tJskupjfv3Ejedt
Stinky,,,,Cat,Male,Jock,B,Fitness,8/17,GAAHHH,K.K. Flamenco,"If the mask fits, wear it!",Active,Simple,Red,Blue,3244,busted umbrella,ringside seating,boxing-ring mat,1452;1456;1708;3560;3672;4013;4078;4753;7150;7800,weight bench;judge's bell;cassette player;iron worktable;cardboard box;punching bag;barbell;throwback wrestling figure;blue corner;protein shaker bottle,"3943,0_0","3616,2_0",1.0.0,#8b5f57,#d8cc39,cat13,daE2wDXCWHDJZBkD4
Stitches,,,,Bear cub,Male,Lazy,B,Play,2/10,stuffin',I Love You,A stitch in time saves nine.,Simple,Cute,Colorful,White,9535,panda umbrella,blue quilt wall,patchwork-tile flooring,1501;2560;2605;3206;3305;3584;3623;4003;5543;7133;7134;7140;7141;7144;7145;7147;7258;7462;9543,Baby bear;wooden chest;wooden simple bed;wooden-block toy;baby chair;study poster;toy box;cute music player;wooden-block stool;wooden mini table;wooden low table;Mom's tissue box;Mom's pen stand;Mom's cushion;Mom's embroidery;Mom's plushie;modeling clay;yellow checked rug;Mom's lively kitchen mat,"3122,0_0","3270,4_0",1.0.0,#874c25,#ffaa3b,cbr05,SfGuc8givs3kR8kvM
Stu,,,,Bull,Male,Lazy,A,Nature,4/20,mrooooo,K.K. Rockabilly,"As a cow grows, so do its nostrils.",Simple,Simple,Brown,Beige,7721,grape umbrella,chain-link fence,sidewalk flooring,1185;1708;2614;3672;4070;4309;7161;7654;7654,phone box;cassette player;mountain bike;cardboard box;street organ;destinations signpost;cardboard bed;electric kick scooter;electric kick scooter,"3122,6_0","3251,0_0",1.0.0,#9ae8df,#6b75ce,bul03,rcPtvvvscvkEWG7AF
Sydney,,,,Koala,Female,Normal,B,Music,6/21,sunshine,Drivin',Sail wherever the wind takes you.,Cute,Simple,Beige,Yellow,4165,eggy parasol,purple puzzle wall,blue-paint flooring,928;929;1043;1557;1558;1561;1565;1836;1845;2558;3205;3251;3949;5543;9766,pot rack;air conditioner;microwave;wooden-block bed;wooden-block bookshelf;wooden-block chest;wooden-block table;humidifier;simple kettle;wooden-block chair;wooden-block stereo;gas range;anthurium plant;wooden-block stool;mini fridge,"3943,4_0","3251,1_0",1.0.0,#fffce9,#7352e8,kal03,crrWmmqsC9RfmZNCS
Sylvana,,,,Squirrel,Female,Normal,A,Nature,10/22,hubbub,Spring Blossoms,Remember to see the forest between the trees.,Cute,Simple,Green,Purple,3289,kiwi umbrella,cherry-blossom-trees wall,cherry-blossom flooring,1082;1708;5978;6031;6032;6033;6831;6831;6831;7359;7359;7409,picnic basket;cassette player;bamboo lunch box;cherry-blossom branches;cherry-blossom-petal pile;outdoor picnic set;blossom-viewing lantern;blossom-viewing lantern;blossom-viewing lantern;colorful vinyl sheet;colorful vinyl sheet;cherry-blossom pond stone,7142,717,1.0.0,#fffce9,#c0ab72,squ14,MBkrN9pXkoACmfPdE
Sylvia,,,,Kangaroo,Female,Big Sister,B,Music,5/3,boing,DJ K.K.,Hop first; ask questions later.,Simple,Gorgeous,Yellow,Green,9578,striped umbrella,concrete wall,monochromatic tile flooring,998;1043;1050;1241;3271;3697;3992;4109;4141;4687;4759;7382;7382;7528;8417,kitchen island;microwave;mixer;DIY workbench;ironwood cupboard;portable radio;key holder;double-door refrigerator;diner sofa;toolbox;throwback race-car bed;black wooden-deck rug;black wooden-deck rug;tool cart;wall-mounted tool board,"1241,5_0","998,5_0",1.0.0,#fffce9,#a06fce,kgr06,PZsBTkeYBg5ACE5xB
T-Bone,,,,Bull,Male,Cranky,B,Education,5/20,moocher,K.K. Steppe,Don't have a cow.,Cool,Simple,Blue,Black,3164,logo umbrella,arched-window wall,arabesque flooring,742;794;1449;1652;2554;3775;3956;3957;3958;4129,fireplace;phonograph;cello;matryoshka;double sofa;hanging terrarium;antique bureau;antique bed;antique mini table;monstera,"3943,2_0","3616,5_0",1.0.0,#498992,#acc8cf,bul05,QLPX4QqjhiPwCLcko
